algorithm;goal;solved;best_fitness;explored;iterations;time;n;m;parameters
Adaptive Mutation 2021  GA;12;True;12;37.0;2;0.000808404991403;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;157.0;12;0.003040771989617;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;445.0;36;0.008496035996359;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;73.0;5;0.001457379024941;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;157.0;12;0.003051412000787;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;61.0;4;0.001281268021557;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;145.0;11;0.002830028010067;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;169.0;13;0.003195727011189;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;145.0;11;0.002766168036032;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;1069.0;88;0.019645749998745;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;85.0;6;0.001666900003329;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;217.0;17;0.004036922997329;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;169.0;13;0.003206635999959;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;109.0;8;0.002152487984858;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;12;True;12;37.0;2;0.00079794699559;10;2;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;529.0;43;0.008084027969744;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;853.0;70;0.012697209022008;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;2377.0;197;0.034815602004528;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;409.0;33;0.006067931011785;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;985.0;81;0.014824562997092;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;709.0;58;0.010294898995198;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;757.0;62;0.011115260014776;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;733.0;60;0.011160612979438;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;445.0;36;0.006646110967267;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;181.0;14;0.002888320013881;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;169.0;13;0.002640507998876;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;1009.0;83;0.017373926006258;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;2497.0;207;0.041275334020611;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;205.0;16;0.003483467968181;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;13;True;13;13.0;0;0.000339962949511;10;3;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;14;True;14;1753.0;145;0.029682749998756;10;4;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;14;True;14;6121.0;509;0.101951689983252;10;4;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;14;True;14;1489.0;123;0.025118164019659;10;4;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;14;True;14;553.0;45;0.009412448038347;10;4;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021  GA;14;True;14;1357.0;112;0.022369983023964;10;4;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
