algorithm;goal;solved;best_fitness;explored;iterations;time;n;m;parameters
Adaptive Mutation 2021 GA;10;True;10;49.0;3;0.0034448588266968;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;73.0;5;0.0047490140423178;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;25.0;1;0.0016689139883965;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;61.0;4;0.0039123790338635;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;25.0;1;0.0016658320091664;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;85.0;6;0.0054263730999082;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;97.0;7;0.0062342439778149;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;49.0;3;0.0031779028940945;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;145.0;11;0.0091971289366483;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;73.0;5;0.0046827259939163;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;97.0;7;0.0061630480922758;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;85.0;6;0.0054131839424371;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;61.0;4;0.003925124881789;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;121.0;9;0.0076540459413081;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
Adaptive Mutation 2021 GA;10;True;10;157.0;12;0.0098836999386549;10;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'p-bit flip'}
