algorithm;goal;solved;best_fitness;explored;iterations;time;n;m;parameters
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0044594670180231;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0037413050886243;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0036655620206147;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0041171419434249;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0032760719768702;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0020329349208623;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.002419512020424;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0037395220715552;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0048816830385476;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0041587078012526;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0036579940933734;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0029136179946362;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.003766736947;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0044555310159921;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0041628289036452;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0040362491272389;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;False;3;536449.0;44703;15.0;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0039237921591848;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;37.0;2;0.0047029191628098;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0033522068988531;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0046846580225974;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0036914709489792;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;73.0;5;0.0050633479841053;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;73.0;5;0.0043380530551075;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0030591040849685;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;49.0;3;0.003659991081804;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;4;True;4;73.0;5;0.0032990048639476;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
