algorithm;goal;solved;best_fitness;explored;iterations;time;n;m;parameters
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0006866969633847;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0006168179679661;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0005183268804103;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0003889971412718;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0003899279981851;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0004436408635228;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0006760810501873;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0006207989063113;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0006764200516045;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.000499177025631;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0006188668776303;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0004475400783121;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.000561281107366;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0006231020670384;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;2;True;2;13.0;0;0.0005577909760177;2;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;49.0;3;0.0008168139029294;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.000630565918982;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0005792349111288;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0007485949900001;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0005152681842446;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0005190700758248;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0008477810770273;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;109.0;8;0.0012968510854989;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0005791520234197;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0007864781655371;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;13.0;0;0.0003417760599404;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0005564501043409;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0007752398960292;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0006696239579468;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;4;True;4;25.0;1;0.0007304521277546;4;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;6;True;6;49.0;3;0.0009454390965402;6;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;6;True;6;193.0;15;0.0023637327831238;6;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;6;True;6;289.0;23;0.003306338796392;6;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;6;True;6;37.0;2;0.0007427921518683;6;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;6;True;6;169.0;13;0.0021535661071538;6;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
Adaptive Mutation 2021 GA;6;True;6;37.0;2;0.0009656839538365;6;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-swap'}
