algorithm;goal;solved;best_fitness;explored;iterations;time;n;m;parameters
Adaptive Mutation 2021 GA;0;False;-5267.1162;42253;3520;60;50;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-5267.1162;44473;3705;60;50;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-5267.1162;47665;3971;60;50;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-5267.1162;44209;3683;60;50;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-5267.1162;47089;3923;60;50;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-10774.5071;10681;889;60;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-10770.9738;10729;893;60;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-10771.2662;10657;887;60;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-10774.5837;10525;876;60;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-10770.859;16897;1407;60;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-20729.2725;14581;1214;60;200;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-20731.0738;13693;1140;60;200;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-20732.9287;14053;1170;60;200;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-20719.0476;14905;1241;60;200;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;0;False;-20732.3182;13945;1161;60;200;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
