algorithm;goal;solved;best_fitness;explored;iterations;time;n;m;parameters
Adaptive Mutation 2021 GA;-1203;True;-1198.4968;13.0;0;0.0061557493172585;22;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1203;True;-1197.8052;13.0;0;0.0065501541830599;22;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1203;True;-1200.1951;13.0;0;0.0054076830856502;22;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1203;True;-1199.1428;13.0;0;0.0057605328038334;22;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1203;True;-1198.7269;13.0;0;0.0065233479253947;22;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-395801;True;-395791.4022;445.0;36;0.2187436991371214;48;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-395801;True;-395583.5211;613.0;50;0.2903377027250826;48;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-395801;True;-395785.9886;505.0;41;0.2438015122897923;48;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-395801;True;-395565.1681;397.0;32;0.1977924141101539;48;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-395801;True;-395562.3166;421.0;34;0.2041302728466689;48;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-3886;True;-3885.5708;361.0;29;0.2088067629374563;51;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-3886;True;-3885.7661;241.0;19;0.151585339102894;51;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-3886;True;-3884.1477;217.0;17;0.133942652028054;51;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-3886;True;-3882.4648;337.0;27;0.1968020112253725;51;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-3886;True;-3885.9068;205.0;16;0.123907022178173;51;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-72348;True;-72310.8794;121.0;9;0.0698546292260289;52;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-72348;True;-72309.8278;205.0;16;0.1092039290815591;52;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-72348;True;-72243.5306;169.0;13;0.0916503658518195;52;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-72348;True;-72253.383;133.0;10;0.0731187630444765;52;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-72348;True;-72274.1166;49.0;3;0.0277077541686594;52;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7656;True;-7655.6624;1417.0;117;0.909121893811971;70;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7656;True;-7655.1086;1585.0;131;1.0220853490754962;70;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7656;True;-7655.8103;1033.0;85;0.6680950787849724;70;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7656;True;-7655.7209;1561.0;129;1.0148216420784593;70;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7656;True;-7655.0499;1477.0;122;0.9475233010016382;70;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-6091;True;-6090.7015;85.0;6;0.0627877870574593;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-6091;True;-6090.1067;145.0;11;0.1032623080536723;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-6091;True;-6085.8421;217.0;17;0.1582020171917975;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-6091;True;-6090.0635;181.0;14;0.1309856385923922;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-6091;True;-6090.7079;109.0;8;0.0853912178426981;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1396943;True;-1396136.4188;133.0;10;0.1079131546430289;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1396943;True;-1395870.5174;157.0;12;0.1253493898548185;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1396943;True;-1396532.6145;193.0;15;0.1509987101890146;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1396943;True;-1396930.5967;253.0;20;0.1921190689317882;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-1396943;True;-1395872.0466;241.0;19;0.1891057849861681;76;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7446;True;-7445.2834;397.0;32;0.4345323489978909;96;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7446;True;-7441.3788;325.0;26;0.3608003742992878;96;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7446;True;-7444.3126;361.0;29;0.4046150729991495;96;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7446;True;-7445.0343;325.0;26;0.3649796205572784;96;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7446;True;-7440.7912;361.0;29;0.4332814011722803;96;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-340635;True;-340594.455;769.0;63;0.7818173407576978;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-340635;True;-340619.3489;1033.0;85;1.0568854212760923;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-340635;True;-340587.9346;577.0;47;0.5801206189207733;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-340635;True;-340596.2607;649.0;53;0.6423230161890388;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-340635;True;-340617.4785;877.0;72;0.8742625401355326;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-320942;True;-320910.4851;1153.0;95;1.3012057659216223;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-320942;True;-320940.1066;1345.0;111;1.5322043159976602;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-320942;True;-320857.8;1177.0;97;1.3446855647489429;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-320942;True;-320934.6273;1297.0;107;1.4816731219179928;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-320942;True;-320892.1257;1093.0;90;1.2337835133075714;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-316429;True;-316395.6646;1525.0;126;1.4993701754137874;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-316429;True;-316427.584;1645.0;136;1.626271386165172;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-316429;True;-316419.834;1465.0;121;1.4571736697107551;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-316429;True;-316417.5791;1741.0;144;1.7271280600689352;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-316429;True;-316278.5482;1837.0;152;1.8115459219552577;100;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7409;True;-7408.7745;1177.0;97;1.2059043059125545;101;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7409;True;-7408.5647;1045.0;86;1.0555209307931364;101;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7409;True;-7408.8266;1237.0;102;1.2640236117877066;101;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7409;True;-7408.956;1141.0;94;1.1538481712341309;101;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-7409;True;-7401.6364;1189.0;98;1.21561662806198;101;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-251387;True;-251311.9481;661.0;54;0.6642750343307853;105;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-251387;True;-251300.8116;745.0;61;0.7426591259427369;105;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-251387;True;-251361.7009;565.0;46;0.562538814265281;105;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-251387;True;-251273.6676;781.0;64;0.7814163877628744;105;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-251387;True;-251216.1832;613.0;50;0.6038968060165644;105;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-95767;True;-95728.286;1213.0;100;1.3977603767998517;130;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
Adaptive Mutation 2021 GA;-95767;True;-95765.3154;1093.0;90;1.2672224519774318;130;None;{'lambda': 12, 'F': 2.5, 'r_t1': 10, 'mutation_operator': 'k-reverse'}
